area,assessment,year,ssb,rec,
East,VPA,1969.00,234267.00,1059636.00,
East,VPA,1970.00,265863.00,1249537.00,
East,VPA,1971.00,296435.00,1659793.00,
East,VPA,1972.00,334407.00,1067123.00,
East,VPA,1973.00,362629.00,1373163.00,
East,VPA,1974.00,383916.00,1526739.00,
East,VPA,1975.00,428459.00,1280341.00,
East,VPA,1976.00,385845.00,1553545.00,
East,VPA,1977.00,401880.00,1034747.00,
East,VPA,1978.00,382564.00,868655.00,
East,VPA,1979.00,366383.00,893565.00,
East,VPA,1980.00,346222.00,1240612.00,
East,VPA,1981.00,319965.00,1136454.00,
East,VPA,1982.00,317613.00,1390170.00,
East,VPA,1983.00,292435.00,2173393.00,
East,VPA,1984.00,277532.00,1249165.00,
East,VPA,1985.00,271798.00,1288812.00,
East,VPA,1986.00,266952.00,2200813.00,
East,VPA,1987.00,239617.00,1864790.00,
East,VPA,1988.00,232394.00,2517893.00,
East,VPA,1989.00,228450.00,2563116.00,
East,VPA,1990.00,214163.00,2871642.00,
East,VPA,1991.00,201197.00,3460404.00,
East,VPA,1992.00,210605.00,3945891.00,
East,VPA,1993.00,213465.00,4336139.00,
East,VPA,1994.00,204166.00,3879623.00,
East,VPA,1995.00,209314.00,4536192.00,
East,VPA,1996.00,214557.00,4117775.00,
East,VPA,1997.00,216938.00,3406766.00,
East,VPA,1998.00,228935.00,3962897.00,
East,VPA,1999.00,230896.00,2950136.00,
East,VPA,2000.00,229326.00,2956431.00,
East,VPA,2001.00,229233.00,2898928.00,
East,VPA,2002.00,238286.00,3815848.00,
East,VPA,2003.00,226222.00,3624406.00,
East,VPA,2004.00,214172.00,4830689.00,
East,VPA,2005.00,209529.00,5016198.00,
East,VPA,2006.00,209316.00,6309811.00,
East,VPA,2007.00,219671.00,6686372.00,
East,VPA,2008.00,262725.00,4173891.00,
East,VPA,2009.00,338274.00,2885377.00,
East,VPA,2010.00,436559.00,3300666.00,
East,VPA,2011.00,548736.00,4616255.00,
East,VPA,2012.00,631614.00,7695972.00,
East,VPA,2013.00,715940.00,13477666.00,
East,VPA,2014.00,804946.00,11955826.00,
East,VPA,2015.00,927219.00,412222.00,
West,SS,1950.00,226433.00,621104.00,
West,SS,1951.00,226164.00,620902.00,
West,SS,1952.00,225783.00,620614.00,
West,SS,1953.00,225839.00,620657.00,
West,SS,1954.00,225462.00,620373.00,
West,SS,1955.00,225225.00,620193.00,
West,SS,1956.00,225203.00,620177.00,
West,SS,1957.00,225448.00,620362.00,
West,SS,1958.00,225429.00,620348.00,
West,SS,1959.00,224643.00,619753.00,
West,SS,1960.00,223271.00,618706.00,
West,SS,1961.00,222266.00,723089.00,
West,SS,1962.00,220609.00,616671.00,
West,SS,1963.00,214341.00,960150.00,
West,SS,1964.00,198315.00,380827.00,
West,SS,1965.00,175038.00,253494.00,
West,SS,1966.00,155419.00,245798.00,
West,SS,1967.00,141809.00,250859.00,
West,SS,1968.00,130780.00,434180.00,
West,SS,1969.00,121927.00,897182.00,
West,SS,1970.00,113566.00,389649.00,
West,SS,1971.00,103532.00,428116.00,
West,SS,1972.00,92941.10,1304280.00,
West,SS,1973.00,84574.90,774677.00,
West,SS,1974.00,76890.30,241740.00,
West,SS,1975.00,69674.90,202562.00,
West,SS,1976.00,63371.10,143591.00,
West,SS,1977.00,57587.30,127776.00,
West,SS,1978.00,51075.80,157029.00,
West,SS,1979.00,45219.20,195933.00,
West,SS,1980.00,39052.00,101887.00,
West,SS,1981.00,33497.20,311577.00,
West,SS,1982.00,28109.20,273305.00,
West,SS,1983.00,26858.50,135219.00,
West,SS,1984.00,25049.60,235635.00,
West,SS,1985.00,23676.20,221596.00,
West,SS,1986.00,22655.70,160763.00,
West,SS,1987.00,22235.00,224514.00,
West,SS,1988.00,21648.00,120044.00,
West,SS,1989.00,21122.70,483297.00,
West,SS,1990.00,20933.60,62864.60,
West,SS,1991.00,20666.00,169265.00,
West,SS,1992.00,20576.90,162954.00,
West,SS,1993.00,20909.50,57849.00,
West,SS,1994.00,21986.60,568684.00,
West,SS,1995.00,22334.30,124447.00,
West,SS,1996.00,22506.90,127754.00,
West,SS,1997.00,22807.70,164664.00,
West,SS,1998.00,23141.30,220569.00,
West,SS,1999.00,24245.50,130930.00,
West,SS,2000.00,24149.90,363109.00,
West,SS,2001.00,24093.50,203995.00,
West,SS,2002.00,24091.40,385265.00,
West,SS,2003.00,23721.40,517826.00,
West,SS,2004.00,24121.10,228410.00,
West,SS,2005.00,25354.90,144549.00,
West,SS,2006.00,27024.70,158970.00,
West,SS,2007.00,29480.10,116023.00,
West,SS,2008.00,32536.00,154084.00,
West,SS,2009.00,34408.30,176394.00,
West,SS,2010.00,35915.90,130995.00,
West,SS,2011.00,37306.60,90138.30,
West,SS,2012.00,38092.20,71653.90,
West,SS,2013.00,38836.50,81653.50,
West,SS,2014.00,39452.30,147026.00,
West,SS,2015.00,39372.50,270078.00,
East,SS,1950.00,872232.00,4310760.00,
East,SS,1951.00,883889.00,4076350.00,
East,SS,1952.00,885424.00,2973690.00,
East,SS,1953.00,874240.00,2485450.00,
East,SS,1954.00,858045.00,2298250.00,
East,SS,1955.00,842448.00,2154110.00,
East,SS,1956.00,813918.00,2105840.00,
East,SS,1957.00,789806.00,2057400.00,
East,SS,1958.00,757996.00,1970460.00,
East,SS,1959.00,727122.00,2003300.00,
East,SS,1960.00,701471.00,2172490.00,
East,SS,1961.00,674862.00,2503280.00,
East,SS,1962.00,646254.00,2336970.00,
East,SS,1963.00,616531.00,2260350.00,
East,SS,1964.00,600993.00,5271400.00,
East,SS,1965.00,586257.00,2005380.00,
East,SS,1966.00,573738.00,2372820.00,
East,SS,1967.00,567387.00,1963330.00,
East,SS,1968.00,558613.00,1691720.00,
East,SS,1969.00,564344.00,3397120.00,
East,SS,1970.00,558744.00,4210010.00,
East,SS,1971.00,557677.00,3465060.00,
East,SS,1972.00,555681.00,3345360.00,
East,SS,1973.00,556507.00,3032710.00,
East,SS,1974.00,564772.00,3704510.00,
East,SS,1975.00,568122.00,3591820.00,
East,SS,1976.00,570414.00,2663910.00,
East,SS,1977.00,568567.00,2479200.00,
East,SS,1978.00,563576.00,2512340.00,
East,SS,1979.00,563029.00,2162580.00,
East,SS,1980.00,564542.00,2057140.00,
East,SS,1981.00,562185.00,2054060.00,
East,SS,1982.00,557910.00,4222620.00,
East,SS,1983.00,544095.00,2820910.00,
East,SS,1984.00,528318.00,2251520.00,
East,SS,1985.00,511218.00,2902020.00,
East,SS,1986.00,497509.00,1778560.00,
East,SS,1987.00,489460.00,2317210.00,
East,SS,1988.00,479211.00,2387920.00,
East,SS,1989.00,461810.00,2995160.00,
East,SS,1990.00,446951.00,3338970.00,
East,SS,1991.00,427376.00,4304350.00,
East,SS,1992.00,407657.00,5935830.00,
East,SS,1993.00,385504.00,10466900.00,
East,SS,1994.00,365206.00,7539390.00,
East,SS,1995.00,339047.00,4248450.00,
East,SS,1996.00,316953.00,4854050.00,
East,SS,1997.00,309846.00,3526840.00,
East,SS,1998.00,319890.00,2368890.00,
East,SS,1999.00,323923.00,3220470.00,
East,SS,2000.00,319042.00,4043670.00,
East,SS,2001.00,311265.00,4405580.00,
East,SS,2002.00,296852.00,6929850.00,
East,SS,2003.00,279648.00,9330450.00,
East,SS,2004.00,266568.00,4083940.00,
East,SS,2005.00,261531.00,3134660.00,
East,SS,2006.00,267476.00,3363920.00,
East,SS,2007.00,283158.00,2875020.00,
East,SS,2008.00,287486.00,2644820.00,
East,SS,2009.00,309249.00,2355980.00,
East,SS,2010.00,332219.00,2280180.00,
East,SS,2011.00,362469.00,2320140.00,
East,SS,2012.00,390755.00,2458860.00,
East,SS,2013.00,414813.00,2666130.00,
East,SS,2014.00,433205.00,2643110.00,
East,SS,2015.00,448969.00,3534560.00,
West,VPA, 1974       ,39846.00,652858.00,
West,VPA, 1975       ,36664.00,330457.00,
West,VPA, 1976       ,34933.00,234804.00,
West,VPA, 1977       ,32016.00,190775.00,
West,VPA, 1978       ,29445.00,130065.00,
West,VPA, 1979       ,26254.00,182004.00,
West,VPA, 1980       ,23100.00,143670.00,
West,VPA, 1981       ,20167.00,129056.00,
West,VPA, 1982       ,18831.00,191490.00,
West,VPA, 1983       ,18704.00,181670.00,
West,VPA, 1984       ,18572.00,161762.00,
West,VPA, 1985       ,17266.00,189538.00,
West,VPA, 1986       ,18645.00,175367.00,
West,VPA, 1987       ,18977.00,184745.00,
West,VPA, 1988       ,18951.00,195383.00,
West,VPA, 1989       ,18994.00,201994.00,
West,VPA, 1990       ,18956.00,197240.00,
West,VPA, 1991       ,19690.00,150707.00,
West,VPA, 1992       ,19532.00,138063.00,
West,VPA, 1993       ,20111.00,116417.00,
West,VPA, 1994       ,20099.00,141380.00,
West,VPA, 1995       ,21524.00,182422.00,
West,VPA, 1996       ,21601.00,136636.00,
West,VPA, 1997       ,21763.00,116829.00,
West,VPA, 1998       ,22006.00,165266.00,
West,VPA, 1999       ,22659.00,128834.00,
West,VPA, 2000       ,22163.00,155703.00,
West,VPA, 2001       ,22125.00,190838.00,
West,VPA, 2002       ,21408.00,198520.00,
West,VPA, 2003       ,21723.00,198183.00,
West,VPA, 2004       ,21460.00,259805.00,
West,VPA, 2005       ,22231.00,153818.00,
West,VPA, 2006       ,24046.00,175491.00,
West,VPA, 2007       ,26165.00,112848.00,
West,VPA, 2008       ,29543.00,99010.00,
West,VPA, 2009       ,29842.00,175493.00,
West,VPA, 2010       ,31234.00,112667.00,
West,VPA, 2011       ,31660.00,76627.00,
West,VPA, 2012       ,33214.00,96988.00,
West,VPA, 2013       ,34038.00,167754.00,
West,VPA, 2014       ,35170.00,9277.00,
West,VPA, 2015       ,35512.00,896.00,
