Year,n,m,f,Nominal,ZIDL,CV,LCL,UCL
1977,20,8,0.4,2.573,2.249,0.51,0.86,5.879
1978,69,33,0.478,5.323,4.388,0.245,2.706,7.115
1981,35,6,0.171,1.149,0.812,0.491,0.32,2.057
1982,92,19,0.206,1.362,1.184,0.3,0.658,2.13
1983,91,16,0.176,0.901,0.838,0.347,0.427,1.644
1984,71,6,0.085,0.309,0.313,0.566,0.109,0.898
1986,72,7,0.097,0.398,0.346,0.434,0.151,0.793
1987,77,5,0.065,0.347,0.311,0.47,0.127,0.759
1988,77,15,0.195,1.119,1.113,0.347,0.567,2.187
1989,85,14,0.165,0.815,0.617,0.376,0.298,1.277
1990,86,10,0.116,0.332,0.326,0.359,0.163,0.656
1991,69,5,0.072,0.292,0.301,0.613,0.097,0.933
1992,93,15,0.161,0.513,0.422,0.359,0.211,0.846
1993,90,6,0.067,0.749,0.439,0.693,0.125,1.536
1994,94,15,0.16,0.764,0.536,0.351,0.271,1.06
1995,117,8,0.068,0.286,0.22,0.538,0.08,0.602
1996,93,11,0.118,1.356,0.792,0.518,0.299,2.102
1997,93,12,0.129,0.462,0.327,0.393,0.154,0.698
1998,69,5,0.072,0.171,0.114,0.551,0.041,0.32
1999,90,9,0.1,0.55,0.462,0.529,0.171,1.249
2000,86,7,0.081,0.315,0.252,0.538,0.092,0.69
2001,93,15,0.161,0.51,0.461,0.327,0.244,0.872
2002,88,5,0.057,0.285,0.239,0.649,0.073,0.784
2003,49,11,0.224,1.057,0.79,0.396,0.368,1.693
2004,37,6,0.162,0.984,0.554,0.706,0.155,1.977
2005,106,16,0.151,0.222,0.181,0.304,0.1,0.327
2006,93,17,0.181,0.619,0.467,0.352,0.236,0.924
2007,65,9,0.138,0.54,0.387,0.45,0.164,0.914
2008,79,11,0.139,0.349,0.312,0.392,0.146,0.665
2009,45,16,0.356,0.832,0.582,0.335,0.303,1.116
2010,74,8,0.108,0.493,0.392,0.52,0.147,1.042
2011,49,14,0.286,1.494,1.018,0.4,0.471,2.198
2012,43,7,0.163,0.388,0.3,0.491,0.119,0.76
2013,104,21,0.202,2.389,0.978,0.36,0.489,1.955
