"","Future Recruitment","Abundance","Maturity / Mortality"
"1","1","A","I"
"2","2","A","I"
"3","3","A","I"
"4","1","B","I"
"5","2","B","I"
"6","3","B","I"
"7","1","C","I"
"8","2","C","I"
"9","3","C","I"
"10","1","A","II"
"11","2","A","II"
"12","3","A","II"
"13","1","B","II"
"14","2","B","II"
"15","3","B","II"
"16","1","C","II"
"17","2","C","II"
"18","3","C","II"
"19","1","A","III"
"20","2","A","III"
"21","3","A","III"
"22","1","B","III"
"23","2","B","III"
"24","3","B","III"
"25","1","C","III"
"26","2","C","III"
"27","3","C","III"
"28","1","A","IV"
"29","2","A","IV"
"30","3","A","IV"
"31","1","B","IV"
"32","2","B","IV"
"33","3","B","IV"
"34","1","C","IV"
"35","2","C","IV"
"36","3","C","IV"
