Fleetnam,Fleetno,Areas,Total
LLOTH,1,7,2310.2
LLOTH,1,4 and 5 and 6,548.72
LLOTH,1,1 and 2 and 3,288.55
LLJPNnew,2,4 and 5 and 6 and 7,2801
LLJPNnew,2,2 and 3,407.48
BBnew,4,4 and 5 and 6 and 7,1298.46
PSMEDnew,7,7,20837.71314
PSNOR,8,7,282.0642977
PSHRV,9,7,839.9536808
TPnew,13,4 and 5 and 6,5118.635815
RRCAN,14,2 and 3,427.6899
RRUSAFS,15,1 and 2 and 3,261.12
RRUSAFB,16,1 and 2 and 3,878.632
