"","","GOM","WATL","GSL","SATL","NATL","EATL","MED","NA"
"1","GOM","","","","","","","",""
"2","WATL","","300","","7","4","11","",""
"3","GSL","","","","","","","",""
"4","SATL","","","","5","","2","",""
"5","NATL","","1","","1","1","","",""
"6","EATL","","","","2","","2","",""
"7","MED","","","","","","","",""
"8","","","","","","","","",""
"9","GOM","","","","","","","",""
"10","WATL","","162","6","","5","5","",""
"11","GSL","","","","","","","",""
"12","SATL","","4","","5","3","5","",""
"13","NATL","","2","","","2","","",""
"14","EATL","","4","","2","2","5","",""
"15","MED","","","","","","","",""
"16","","","","","","","","",""
"17","GOM","","","","","","","",""
"18","WATL","","267","3","","","","",""
"19","GSL","","32","8","","","","",""
"20","SATL","","","","3","1","","",""
"21","NATL","","","","","4","","",""
"22","EATL","","","","1","2","15","",""
"23","MED","","","","","","","",""
"24","","","","","","","","",""
"25","GOM","","","","","","","",""
"26","WATL","","247","","7","2","1","",""
"27","GSL","","3","","1","","","",""
"28","SATL","","","","3","","2","",""
"29","NATL","","2","","1","1","1","",""
"30","EATL","","1","","2","","3","",""
"31","MED","","","","","","","",""
"32","GOM","","","","","","","",""
