"","","GOM","WATL","GSL","SATL","NATL","EATL","MED","","GOM","WATL","GSL","SATL","NATL","EATL","MED"
"1","GOM","","","","","","","","","53","7","","2","","",""
"2","WATL","","165","","6","4","8","2","","19","6","","2","","",""
"3","GSL","","","","","","","","","","","","","","",""
"4","SATL","","1","","8","","5","1","","","","","1","","",""
"5","NATL","","","","2","","","","","","2","","","","",""
"6","EATL","","","","4","","6","1","","","1","","","","",""
"7","MED","","","","","","","17","","","","","","","",""
"8","","","","","","","","","","","","","","","",""
"9","GOM","","","","","","","","","2","22","3","","","",""
"10","WATL","","21","2","1","3","6","","","","18","","","","",""
"11","GSL","","","","","","","","","","","","","","",""
"12","SATL","","","","6","4","6","3","","","4","1","","","",""
"13","NATL","","","","","3","1","","","","","","","","",""
"14","EATL","","3","","3","1","9","","","","","","","","",""
"15","MED","","","1","6","3","9","27","","","","","","","",""
"16","","","","","","","","","","","","","","","",""
"17","GOM","","","","","","","","","","","","","","",""
"18","WATL","","44","","","","","","","4","109","5","","","",""
"19","GSL","","9","","","","","","","11","28","1","","","",""
"20","SATL","","","","6","1","","1","","","","","","","",""
"21","NATL","","","","","8","","","","","","","","","",""
"22","EATL","","","","2","4","35","","","","","","","","",""
"23","MED","","","","2","","","34","","","","","","","",""
"24","","","","","","","","","","","","","","","",""
"25","GOM","","","","","","","","","14","","","","1","1",""
"26","WATL","","113","","1","","","","","77","21","","2","1","1",""
"27","GSL","","","","","","","","","1","4","","","","",""
"28","SATL","","","","6","","5","1","","","","","","","",""
"29","NATL","","3","","3","2","1","","","","","","","","",""
"30","EATL","","2","","9","","11","","","","","","","","",""
"31","MED","","","","3","","","28","","","","","","","",""
