Year ,Subyear,East,West,N,Area
2009,3,91.86,8.14,97,E_ATL
2009,4,100,0,5,E_ATL
2010,3,100,0,51,E_ATL
2010,4,100,0,57,E_ATL
2011,3,100,0,72,E_ATL
2011,4,100,0,32,E_ATL
2009,4,0,100,3,NE_ATL
2010,4,62.71,37.29,89,NE_ATL
2011,4,79.31,20.69,70,NE_ATL
2012,4,76.42,23.58,149,NE_ATL
2010,2,100,0,16,SE_ATL
2011,2,75,25,78,SE_ATL
2011,3,96.83,3.17,73,SE_ATL
2011,4,93.88,6.12,56,SE_ATL
2012,2,97.83,2.17,49,SE_ATL
2013,1,70.59,29.41,23,SE_ATL
2013,2,84.62,15.38,57,SE_ATL
2010,2,100,0,6,W_ATL
2010,3,100,0,6,W_ATL
2011,2,97.95918367,2.040816327,58,W_ATL
2011,3,96.2962963,3.703703704,115,W_ATL
2011,4,85.71428571,14.28571429,12,W_ATL
2011,4,82.92682927,17.07317073,48,E_MED
2010,4,58.82352941,41.17647059,24,NC_ATL
2011,4,100,0,1,NC_ATL
2010,4,100,0,2,W_ATL
2011,4,33.33333333,66.66666667,17,W_ATL
2012,4,20,80,18,W_ATL
